Date,Page Path,Page Title,Sessions,Unique Users,Views,Avg. Time on Page,Entrances,Bounce Rate,Exit Rate
2025-03-01,/,Homepage,452,387,589,00:01:35,289,42.2%,28.5%
2025-03-01,/inventory,Inventory Search,387,312,498,00:02:45,142,28.9%,15.7%
2025-03-01,/new-vehicles,New Vehicles,215,189,287,00:01:58,98,34.7%,22.6%
2025-03-01,/used-vehicles,Used Vehicles,198,176,265,00:02:12,87,31.0%,24.2%
2025-03-01,/finance,Finance Center,124,115,148,00:01:05,32,45.7%,38.5%
2025-03-01,/service,Service Center,156,143,192,00:01:28,65,39.8%,35.9%
2025-03-01,/specials,Current Specials,145,132,187,00:01:15,45,28.9%,22.5%
2025-03-01,/contact,Contact Us,98,92,112,00:00:58,12,15.6%,65.2%
2025-03-01,/about,About Us,78,75,89,00:01:12,8,22.5%,38.2%
2025-03-01,/vehicle/honda-accord-a12345,Honda Accord Stock #A12345,42,40,57,00:03:25,22,18.2%,26.3%
2025-03-02,/,Homepage,478,412,632,00:01:38,302,41.7%,27.5%
2025-03-02,/inventory,Inventory Search,402,325,532,00:02:48,148,27.7%,14.8%
2025-03-02,/new-vehicles,New Vehicles,228,201,305,00:02:02,105,33.5%,21.3%
2025-03-02,/used-vehicles,Used Vehicles,204,184,278,00:02:15,92,30.4%,22.7%
2025-03-02,/finance,Finance Center,132,123,159,00:01:08,35,43.2%,37.1%
2025-03-02,/service,Service Center,165,152,205,00:01:32,72,38.9%,34.6%
2025-03-02,/specials,Current Specials,158,144,204,00:01:18,48,27.1%,21.6%
2025-03-02,/contact,Contact Us,105,98,121,00:01:02,15,16.2%,62.8%
2025-03-02,/about,About Us,82,79,94,00:01:15,10,23.1%,37.2%
2025-03-02,/vehicle/ford-f150-a12347,Ford F-150 Stock #A12347,58,55,76,00:04:12,30,16.7%,22.4%
2025-03-03,/,Homepage,412,356,542,00:01:32,268,43.8%,29.5%
2025-03-03,/inventory,Inventory Search,365,292,478,00:02:35,132,29.5%,16.7%
2025-03-03,/new-vehicles,New Vehicles,198,176,265,00:01:48,88,35.2%,23.8%
2025-03-03,/used-vehicles,Used Vehicles,182,162,245,00:02:05,78,32.1%,25.3%
2025-03-03,/finance,Finance Center,112,104,134,00:01:02,28,47.2%,40.3%
2025-03-03,/service,Service Center,145,132,178,00:01:22,58,40.8%,37.1%
2025-03-03,/specials,Current Specials,132,121,170,00:01:12,42,30.2%,23.5%
2025-03-03,/contact,Contact Us,89,84,102,00:00:55,10,17.8%,68.6%
2025-03-03,/about,About Us,72,69,82,00:01:08,6,25.6%,40.2%
2025-03-03,/vehicle/toyota-sienna-a12348,Toyota Sienna Stock #A12348,38,36,52,00:03:10,19,21.1%,28.8%
2025-03-04,/,Homepage,465,398,610,00:01:42,298,42.3%,28.2%
2025-03-04,/inventory,Inventory Search,395,318,512,00:02:52,145,28.3%,15.2%
2025-03-04,/new-vehicles,New Vehicles,222,195,298,00:02:00,102,33.8%,22.1%
2025-03-04,/used-vehicles,Used Vehicles,198,178,268,00:02:18,88,30.7%,23.5%
2025-03-04,/finance,Finance Center,128,119,152,00:01:10,34,44.1%,37.5%
2025-03-04,/service,Service Center,162,148,202,00:01:35,68,39.7%,35.6%
2025-03-04,/specials,Current Specials,155,141,198,00:01:22,47,28.3%,22.2%
2025-03-04,/contact,Contact Us,104,97,119,00:01:05,14,16.5%,64.7%
2025-03-04,/about,About Us,81,78,93,00:01:18,9,23.4%,38.7%
2025-03-04,/vehicle/volkswagen-tiguan-a12350,Volkswagen Tiguan Stock #A12350,62,58,82,00:04:05,32,15.6%,21.9%
2025-03-05,/,Homepage,442,382,578,00:01:36,275,42.9%,28.7%
2025-03-05,/inventory,Inventory Search,378,304,492,00:02:40,138,29.0%,16.1%
2025-03-05,/new-vehicles,New Vehicles,205,182,272,00:01:52,94,34.0%,22.8%
2025-03-05,/used-vehicles,Used Vehicles,188,168,254,00:02:08,82,31.7%,24.8%
2025-03-05,/finance,Finance Center,118,110,140,00:01:04,30,46.7%,38.6%
2025-03-05,/service,Service Center,148,136,182,00:01:25,62,40.3%,36.3%
2025-03-05,/specials,Current Specials,138,126,178,00:01:14,43,29.1%,22.5%
2025-03-05,/contact,Contact Us,94,87,107,00:00:58,11,16.4%,66.4%
2025-03-05,/about,About Us,75,72,85,00:01:10,7,24.3%,39.4%
2025-03-05,/vehicle/jeep-grand-cherokee-a12352,Jeep Grand Cherokee Stock #A12352,45,42,62,00:03:18,24,18.8%,25.8%
2025-03-06,/,Homepage,485,418,638,00:01:45,312,41.3%,27.9%
2025-03-06,/inventory,Inventory Search,412,332,545,00:02:55,152,27.6%,14.3%
2025-03-06,/new-vehicles,New Vehicles,232,206,312,00:02:05,108,33.3%,21.2%
2025-03-06,/used-vehicles,Used Vehicles,210,189,282,00:02:22,92,30.4%,22.7%
2025-03-06,/finance,Finance Center,135,125,164,00:01:12,36,43.2%,37.2%
2025-03-06,/service,Service Center,168,156,210,00:01:38,74,38.5%,34.3%
2025-03-06,/specials,Current Specials,162,148,210,00:01:25,50,26.0%,20.9%
2025-03-06,/contact,Contact Us,108,101,125,00:01:05,16,15.6%,61.6%
2025-03-06,/about,About Us,84,81,96,00:01:20,10,22.0%,36.5%
2025-03-06,/vehicle/ford-mustang-a12353,Ford Mustang Stock #A12353,68,64,90,00:04:28,35,14.3%,20.0%
2025-03-07,/,Homepage,432,372,568,00:01:33,262,43.5%,29.4%
2025-03-07,/inventory,Inventory Search,375,298,485,00:02:38,135,29.6%,16.5%
2025-03-07,/new-vehicles,New Vehicles,202,178,268,00:01:48,92,35.9%,23.9%
2025-03-07,/used-vehicles,Used Vehicles,185,166,250,00:02:05,80,32.5%,25.6%
2025-03-07,/finance,Finance Center,115,106,138,00:01:05,29,46.6%,40.6%
2025-03-07,/service,Service Center,148,136,182,00:01:22,60,41.7%,37.4%
2025-03-07,/specials,Current Specials,135,124,175,00:01:14,44,30.7%,23.4%
2025-03-07,/contact,Contact Us,91,86,105,00:00:55,12,17.4%,67.6%
2025-03-07,/about,About Us,73,70,84,00:01:09,8,25.0%,40.5%
2025-03-07,/vehicle/toyota-camry-a12356,Toyota Camry Stock #A12356,42,39,58,00:03:15,22,20.0%,27.6%
2025-03-08,/,Homepage,358,312,468,00:01:25,218,45.0%,31.6%
2025-03-08,/inventory,Inventory Search,312,248,402,00:02:18,112,31.3%,17.9%
2025-03-08,/new-vehicles,New Vehicles,168,152,222,00:01:35,76,38.2%,26.1%
2025-03-08,/used-vehicles,Used Vehicles,158,142,212,00:01:52,68,35.3%,28.3%
2025-03-08,/finance,Finance Center,98,92,116,00:00:58,25,52.0%,43.1%
2025-03-08,/service,Service Center,125,115,152,00:01:12,50,43.8%,39.5%
2025-03-08,/specials,Current Specials,112,105,148,00:01:05,35,34.3%,25.7%
2025-03-08,/contact,Contact Us,78,74,88,00:00:50,8,22.5%,71.6%
2025-03-08,/about,About Us,62,60,70,00:01:02,5,30.0%,42.9%
2025-03-08,/vehicle/audi-a4-a12359,Audi A4 Stock #A12359,32,30,44,00:02:56,16,25.0%,31.8%
